09CD001,"YUKON RIVER ABOVE WHITE RIVER"
Description of parameters:
47,"Discharge (primary sensor derived)",m3/s

Date,Parameter ,Value (m3/s)
2020-01-05 19:44:00,47,382
2020-01-05 19:59:00,47,382
2020-01-05 20:14:00,47,382
2020-01-05 20:29:00,47,382
2020-01-05 20:44:00,47,382
2020-01-05 20:59:00,47,382
2020-01-05 21:14:00,47,382
2020-01-05 21:29:00,47,382
2020-01-05 21:44:00,47,382
2020-01-05 21:59:00,47,382
2020-01-05 22:14:00,47,382
2020-01-05 22:29:00,47,382
2020-01-05 22:44:00,47,382
2020-01-05 22:59:00,47,382
2020-01-05 23:14:00,47,382
2020-01-05 23:29:00,47,382
2020-01-05 23:44:00,47,381
2020-01-05 23:59:00,47,381
2020-01-06 00:14:00,47,381
2020-01-06 00:29:00,47,381
2020-01-06 00:44:00,47,381
2020-01-06 00:59:00,47,381
2020-01-06 01:14:00,47,381
2020-01-06 01:29:00,47,381
2020-01-06 01:44:00,47,381
2020-01-06 01:59:00,47,381
2020-01-06 02:14:00,47,381
2020-01-06 02:29:00,47,381
2020-01-06 02:44:00,47,381
2020-01-06 02:59:00,47,381
2020-01-06 03:14:00,47,381
2020-01-06 03:29:00,47,381
2020-01-06 03:44:00,47,381
2020-01-06 03:59:00,47,381
2020-01-06 04:14:00,47,381
2020-01-06 04:29:00,47,381
2020-01-06 04:44:00,47,381
2020-01-06 04:59:00,47,381
2020-01-06 05:14:00,47,381
2020-01-06 05:29:00,47,381
2020-01-06 05:44:00,47,381
2020-01-06 05:59:00,47,381
2020-01-06 06:14:00,47,381
2020-01-06 06:29:00,47,381
2020-01-06 06:44:00,47,381
2020-01-06 06:59:00,47,381
2020-01-06 07:14:00,47,381
2020-01-06 07:29:00,47,381
2020-01-06 07:44:00,47,381
2020-01-06 07:59:00,47,381
2020-01-06 08:14:00,47,381
2020-01-06 08:29:00,47,381
2020-01-06 08:44:00,47,381
2020-01-06 08:59:00,47,381
2020-01-06 09:14:00,47,381
2020-01-06 09:29:00,47,381
2020-01-06 09:44:00,47,381
2020-01-06 09:59:00,47,381
2020-01-06 10:14:00,47,381
2020-01-06 10:29:00,47,381
2020-01-06 10:44:00,47,381
2020-01-06 10:59:00,47,381
2020-01-06 11:14:00,47,381
2020-01-06 11:29:00,47,381
2020-01-06 11:44:00,47,381
2020-01-06 11:59:00,47,381
2020-01-06 12:14:00,47,381
2020-01-06 12:29:00,47,381
2020-01-06 12:44:00,47,381
2020-01-06 12:59:00,47,381
2020-01-06 13:14:00,47,381
2020-01-06 13:29:00,47,381
2020-01-06 13:44:00,47,381
2020-01-06 13:59:00,47,381
2020-01-06 14:14:00,47,381
2020-01-06 14:29:00,47,381
2020-01-06 14:44:00,47,381
2020-01-06 14:59:00,47,381
2020-01-06 15:14:00,47,381
2020-01-06 15:29:00,47,381
2020-01-06 15:44:00,47,381
2020-01-06 15:59:00,47,381
2020-01-06 16:14:00,47,381
2020-01-06 16:29:00,47,381
2020-01-06 16:44:00,47,381
2020-01-06 16:59:00,47,381
2020-01-06 17:14:00,47,381
2020-01-06 17:29:00,47,381
2020-01-06 17:44:00,47,381
2020-01-06 17:59:00,47,381
2020-01-06 18:14:00,47,381
2020-01-06 18:29:00,47,381
2020-01-06 18:44:00,47,381
2020-01-06 18:59:00,47,381
2020-01-06 19:14:00,47,381
2020-01-06 19:29:00,47,381
2020-01-06 19:44:00,47,381
2020-01-06 19:59:00,47,381
2020-01-06 20:14:00,47,381
2020-01-06 20:29:00,47,381
2020-01-06 20:44:00,47,381
2020-01-06 20:59:00,47,381
2020-01-06 21:14:00,47,381
2020-01-06 21:29:00,47,381
2020-01-06 21:44:00,47,381
2020-01-06 21:59:00,47,381
2020-01-06 22:14:00,47,381
2020-01-06 22:29:00,47,381
2020-01-06 22:44:00,47,381
2020-01-06 22:59:00,47,381
2020-01-06 23:14:00,47,381
2020-01-06 23:29:00,47,381
2020-01-06 23:44:00,47,381
2020-01-06 23:59:00,47,381
2020-01-07 00:14:00,47,381
2020-01-07 00:29:00,47,381
2020-01-07 00:44:00,47,381
2020-01-07 00:59:00,47,381
2020-01-07 01:14:00,47,381
2020-01-07 01:29:00,47,381
2020-01-07 01:44:00,47,381
2020-01-07 01:59:00,47,381
2020-01-07 02:14:00,47,381
2020-01-07 02:29:00,47,381
2020-01-07 02:44:00,47,381
2020-01-07 02:59:00,47,381
2020-01-07 03:14:00,47,381
2020-01-07 03:29:00,47,381
2020-01-07 03:44:00,47,380
2020-01-07 03:59:00,47,380
2020-01-07 04:14:00,47,380
2020-01-07 04:29:00,47,380
2020-01-07 04:44:00,47,380
2020-01-07 04:59:00,47,380
2020-01-07 05:14:00,47,380
2020-01-07 05:29:00,47,380
2020-01-07 05:44:00,47,380
2020-01-07 05:59:00,47,380
2020-01-07 06:14:00,47,380
2020-01-07 06:29:00,47,380
2020-01-07 06:44:00,47,380
2020-01-07 06:59:00,47,380
2020-01-07 07:14:00,47,380
2020-01-07 07:29:00,47,380
2020-01-07 07:44:00,47,380
2020-01-07 07:59:00,47,380
2020-01-07 08:14:00,47,380
2020-01-07 08:29:00,47,380
2020-01-07 08:44:00,47,380
2020-01-07 08:59:00,47,380
2020-01-07 09:14:00,47,380
2020-01-07 09:29:00,47,380
2020-01-07 09:44:00,47,380
2020-01-07 09:59:00,47,380
2020-01-07 10:14:00,47,380
2020-01-07 10:29:00,47,380
2020-01-07 10:44:00,47,380
2020-01-07 10:59:00,47,380
2020-01-07 11:14:00,47,380
2020-01-07 11:29:00,47,380
2020-01-07 11:44:00,47,380
2020-01-07 11:59:00,47,380
2020-01-07 12:14:00,47,380
2020-01-07 12:29:00,47,380
2020-01-07 12:44:00,47,380
2020-01-07 12:59:00,47,380
2020-01-07 13:14:00,47,380
2020-01-07 13:29:00,47,380
2020-01-07 13:44:00,47,380
2020-01-07 13:59:00,47,380
2020-01-07 14:14:00,47,380
2020-01-07 14:29:00,47,380
2020-01-07 14:44:00,47,380
2020-01-07 14:59:00,47,380
2020-01-07 15:14:00,47,380
2020-01-07 15:29:00,47,380
2020-01-07 15:44:00,47,380
2020-01-07 15:59:00,47,380
2020-01-07 16:14:00,47,380
2020-01-07 16:29:00,47,380
2020-01-07 16:44:00,47,380
2020-01-07 16:59:00,47,380
2020-01-07 17:14:00,47,380
2020-01-07 17:29:00,47,380
2020-01-07 17:44:00,47,380
2020-01-07 17:59:00,47,380
2020-01-07 18:14:00,47,380
2020-01-07 18:29:00,47,380
2020-01-07 18:44:00,47,380
2020-01-07 18:59:00,47,380
2020-01-07 19:14:00,47,380
2020-01-07 19:29:00,47,380
2020-01-07 19:44:00,47,380
2020-01-07 19:59:00,47,380
2020-01-07 20:14:00,47,380
2020-01-07 20:29:00,47,380
2020-01-07 20:44:00,47,380
2020-01-07 20:59:00,47,380
2020-01-07 21:14:00,47,380
2020-01-07 21:29:00,47,380
2020-01-07 21:44:00,47,380
2020-01-07 21:59:00,47,380
2020-01-07 22:14:00,47,380
2020-01-07 22:29:00,47,380
2020-01-07 22:44:00,47,380
2020-01-07 22:59:00,47,380
2020-01-07 23:14:00,47,380
2020-01-07 23:29:00,47,380
2020-01-07 23:44:00,47,380
2020-01-07 23:59:00,47,380
2020-01-08 00:14:00,47,380
2020-01-08 00:29:00,47,380
2020-01-08 00:44:00,47,380
2020-01-08 00:59:00,47,380
2020-01-08 01:14:00,47,380
2020-01-08 01:29:00,47,380
2020-01-08 01:44:00,47,380
2020-01-08 01:59:00,47,380
2020-01-08 02:14:00,47,380
2020-01-08 02:29:00,47,380
2020-01-08 02:44:00,47,380
2020-01-08 02:59:00,47,380
2020-01-08 03:14:00,47,380
2020-01-08 03:29:00,47,380
2020-01-08 03:44:00,47,380
2020-01-08 03:59:00,47,380
2020-01-08 04:14:00,47,380
2020-01-08 04:29:00,47,380
2020-01-08 04:44:00,47,380
2020-01-08 04:59:00,47,380
2020-01-08 05:14:00,47,380
2020-01-08 05:29:00,47,380
2020-01-08 05:44:00,47,380
2020-01-08 05:59:00,47,380
2020-01-08 06:14:00,47,380
2020-01-08 06:29:00,47,380
2020-01-08 06:44:00,47,380
2020-01-08 06:59:00,47,380
2020-01-08 07:14:00,47,380
2020-01-08 07:29:00,47,379
2020-01-08 07:44:00,47,379
2020-01-08 07:59:00,47,379
2020-01-08 08:14:00,47,379
2020-01-08 08:29:00,47,379
2020-01-08 08:44:00,47,379
2020-01-08 08:59:00,47,379
2020-01-08 09:14:00,47,379
2020-01-08 09:29:00,47,379
2020-01-08 09:44:00,47,379
2020-01-08 09:59:00,47,379
2020-01-08 10:14:00,47,379
2020-01-08 10:29:00,47,379
2020-01-08 10:44:00,47,379
2020-01-08 10:59:00,47,379
2020-01-08 11:14:00,47,379
2020-01-08 11:29:00,47,379
2020-01-08 11:44:00,47,379
2020-01-08 11:59:00,47,379
2020-01-08 12:14:00,47,379
2020-01-08 12:29:00,47,379
2020-01-08 12:44:00,47,379
2020-01-08 12:59:00,47,379
2020-01-08 13:14:00,47,379
2020-01-08 13:29:00,47,379
2020-01-08 13:44:00,47,379
2020-01-08 13:59:00,47,379
2020-01-08 14:14:00,47,379
2020-01-08 14:29:00,47,379
2020-01-08 14:44:00,47,379
2020-01-08 14:59:00,47,379
2020-01-08 15:14:00,47,379
2020-01-08 15:29:00,47,379
2020-01-08 15:44:00,47,379
2020-01-08 15:59:00,47,379
2020-01-08 16:14:00,47,379
2020-01-08 16:29:00,47,379
2020-01-08 16:44:00,47,379
2020-01-08 16:59:00,47,379
2020-01-08 17:14:00,47,379
2020-01-08 17:29:00,47,379
