ID,Month,Day,minmax,Date,Flow(m³/s)
02DD020,4,5,min,1982-04-05,4.9899998
02DD020,4,5,max,2019-04-05,80.400002
02DD020,4,6,min,1982-04-06,5.02
02DD020,4,6,max,2019-04-06,81.199997
02DD020,4,7,min,1982-04-07,5.170000099999998
02DD020,4,7,max,2019-04-07,83.0
02DD020,4,8,min,1982-04-08,5.380000099999998
02DD020,4,8,max,2019-04-08,83.199997
02DD020,4,9,min,1982-04-09,5.6399999
02DD020,4,9,max,2019-04-09,83.099998
02DD020,4,10,min,1982-04-10,5.6500001
02DD020,4,10,max,2019-04-10,83.099998
02DD020,4,11,min,1982-04-11,5.630000099999998
02DD020,4,11,max,2019-04-11,83.199997
02DD020,4,12,min,1982-04-12,5.6799998
02DD020,4,12,max,2019-04-12,82.699997
02DD020,4,13,min,1982-04-13,5.7199998
02DD020,4,13,max,2019-04-13,82.599998
02DD020,4,14,min,1982-04-14,5.6599998
02DD020,4,14,max,2019-04-14,82.199997
02DD020,4,15,min,1982-04-15,5.6599998
02DD020,4,15,max,2019-04-15,81.699997
02DD020,4,16,min,1982-04-16,5.98
02DD020,4,16,max,2019-04-16,81.5
02DD020,4,17,min,1982-04-17,6.0100002
02DD020,4,17,max,2019-04-17,81.800003
02DD020,4,18,min,1982-04-18,5.9499998
02DD020,4,18,max,2019-04-18,82.599998
02DD020,4,19,min,1982-04-19,5.8899999
02DD020,4,19,max,2019-04-19,83.400002
02DD020,4,20,min,1982-04-20,5.6399999
02DD020,4,20,max,2019-04-20,84.5
02DD020,4,21,min,1982-04-21,5.29
02DD020,4,21,max,2019-04-21,85.800003
02DD020,4,22,min,1982-04-22,5.329999900000002
02DD020,4,22,max,2019-04-22,87.400002
02DD020,4,23,min,1982-04-23,5.5900002
02DD020,4,23,max,2019-04-23,88.099998
02DD020,4,24,min,1982-04-24,6.02
02DD020,4,24,max,2019-04-24,90.599998
02DD020,4,25,min,1982-04-25,7.130000099999998
02DD020,4,25,max,2019-04-25,93.599998
02DD020,4,26,min,1982-04-26,8.2700005
02DD020,4,26,max,2019-04-26,96.0
02DD020,4,27,min,1982-04-27,8.8900003
02DD020,4,27,max,2019-04-27,101.0
02DD020,4,28,min,1982-04-28,9.4799995
02DD020,4,28,max,2019-04-28,106.0
02DD020,4,29,min,1982-04-29,9.3000002
02DD020,4,29,max,2019-04-29,109.0
02DD020,4,30,min,1982-04-30,9.29
02DD020,4,30,max,2019-04-30,112.0
02DD020,5,1,min,1982-05-01,10.1
02DD020,5,1,max,2019-05-01,115.0
02DD020,5,2,min,1982-05-02,12.5
02DD020,5,2,max,2019-05-02,119.0
02DD020,5,3,min,1982-05-03,14.8
02DD020,5,3,max,2019-05-03,120.0
02DD020,5,4,min,1982-05-04,15.2
