ID,Year,Month,Day,Parameter,Level (m)
01AD004,2020,3,14,46,135.8728368055554
01AD004,2020,3,15,46,135.95505555555556
01AD004,2020,3,16,46,135.99390624999992
01AD004,2020,3,17,46,135.96060763888914
01AD004,2020,3,18,46,135.93079861111113
01AD004,2020,3,19,46,135.87497916666655
01AD004,2020,3,20,46,135.8409131944446
01AD004,2020,3,21,46,135.8345868055552
01AD004,2020,3,22,46,135.85695138888877
01AD004,2020,3,23,46,135.90559722222218
01AD004,2020,3,24,46,136.03886805555547
01AD004,2020,3,25,46,136.11493055555547
01AD004,2020,3,26,46,136.14971180555574
01AD004,2020,3,27,46,136.15085416666636
01AD004,2020,3,28,46,136.09732986111086
01AD004,2020,3,29,46,136.08169444444442
01AD004,2020,3,30,46,136.0625833333333
01AD004,2020,3,31,46,136.0598229166667
01AD004,2020,4,1,46,136.07653125000013
01AD004,2020,4,2,46,136.1004791666666
01AD004,2020,4,3,46,136.24979513888894
01AD004,2020,4,4,46,136.49080555555554
01AD004,2020,4,5,46,136.85151388888892
01AD004,2020,4,6,46,137.0279305555556
01AD004,2020,4,7,46,136.62843055555544
01AD004,2020,4,8,46,136.88678819444453
01AD004,2020,4,9,46,137.22302083333332
01AD004,2020,4,10,46,136.80855555555564
01AD004,2020,4,11,46,136.5056076388889
01AD004,2020,4,12,46,136.25076388888894
01AD004,2020,4,13,46,136.136375
01AD004,2020,4,14,46,136.59480902777776
01AD004,2020,4,15,46,137.3910000000001
01AD004,2020,4,16,46,137.7236319444444
01AD004,2020,4,17,46,137.50140277777786
01AD004,2020,4,18,46,137.10069791666666
01AD004,2020,4,19,46,136.78520486111123
01AD004,2020,4,20,46,136.67060416666664
01AD004,2020,4,21,46,136.64481944444444
01AD004,2020,4,22,46,136.64814583333325
01AD004,2020,4,23,46,136.54711805555561
01AD004,2020,4,24,46,136.40027430555568
01AD004,2020,4,25,46,136.31289236111107
01AD004,2020,4,26,46,136.29974305555572
01AD004,2020,4,27,46,136.39471874999992
01AD004,2020,4,28,46,136.5637465277778
01AD004,2020,4,29,46,136.7847638888889
01AD004,2020,4,30,46,137.0787152777778
01AD004,2020,5,1,46,137.34001736111114
01AD004,2020,5,2,46,137.90610763888884
01AD004,2020,5,3,46,138.54186458333317
01AD004,2020,5,4,46,138.51803125000006
01AD004,2020,5,5,46,138.51093402777758
01AD004,2020,5,6,46,138.28699652777783
01AD004,2020,5,7,46,137.8965694444444
01AD004,2020,5,8,46,137.5948368055556
01AD004,2020,5,9,46,137.35380555555545
01AD004,2020,5,10,46,137.10873958333337
01AD004,2020,5,11,46,136.866545138889
01AD004,2020,5,12,46,136.68775347222214
01AD004,2020,5,13,46,136.5725451388891
01AD004,2020,5,14,46,136.47735763888898
01AD004,2020,5,15,46,136.3863368055557
01AD004,2020,5,16,46,136.3557256944445
01AD004,2020,5,17,46,136.43111805555563
01AD004,2020,5,18,46,136.54252083333287
01AD004,2020,5,19,46,136.48456250000007
01AD004,2020,5,20,46,136.35202083333334
01AD004,2020,5,21,46,136.22664930555558
01AD004,2020,5,22,46,136.1323020833337
01AD004,2020,5,23,46,136.0619062500001
