ID,Year,Month,Day,Parameter,Flow (m3/s)
02DD020,2020,5,6,47,20.312847222222256
02DD020,2020,5,7,47,20.686458333333224
02DD020,2020,5,8,47,21.737847222222243
02DD020,2020,5,9,47,21.82743055555556
02DD020,2020,5,10,47,21.92465277777776
02DD020,2020,5,11,47,22.205555555555534
02DD020,2020,5,12,47,22.39791666666666
02DD020,2020,5,13,47,22.568055555555592
02DD020,2020,5,14,47,22.69652777777772
02DD020,2020,5,15,47,23.081597222222218
02DD020,2020,5,16,47,23.271875000000072
02DD020,2020,5,17,47,23.36006944444439
02DD020,2020,5,18,47,23.453472222222274
02DD020,2020,5,19,47,23.489930555555567
02DD020,2020,5,20,47,23.538541666666717
02DD020,2020,5,21,47,23.591319444444466
02DD020,2020,5,22,47,23.606250000000006
02DD020,2020,5,23,47,23.58854166666674
02DD020,2020,5,24,47,23.65104166666666
02DD020,2020,5,25,47,23.920138888888875
02DD020,2020,5,26,47,24.024305555555593
02DD020,2020,5,27,47,23.996180555555537
02DD020,2020,5,28,47,23.923958333333317
02DD020,2020,5,29,47,24.36736111111116
02DD020,2020,5,30,47,24.624305555555555
02DD020,2020,5,31,47,24.64687500000002
02DD020,2020,6,1,47,24.464930555555487
02DD020,2020,6,2,47,24.648263888888817
02DD020,2020,6,3,47,25.054861111111137
02DD020,2020,6,4,47,25.10069444444452
02DD020,2020,6,5,47,25.162499999999937
02DD020,2020,6,6,47,25.14756944444444
02DD020,2020,6,7,47,25.102083333333432
02DD020,2020,6,8,47,25.115625000000033
02DD020,2020,6,9,47,25.039583333333393
02DD020,2020,6,10,47,25.516666666666683
02DD020,2020,6,11,47,26.15590277777775
02DD020,2020,6,12,47,25.599999999999962
02DD020,2020,6,13,47,25.394097222222236
02DD020,2020,6,14,47,25.204513888888854
02DD020,2020,6,15,47,25.14270833333336
02DD020,2020,6,16,47,25.039583333333283
02DD020,2020,6,17,47,24.8875
02DD020,2020,6,18,47,24.847916666666706
02DD020,2020,6,19,47,24.794791666666626
02DD020,2020,6,20,47,24.767361111111107
02DD020,2020,6,21,47,24.722222222222225
02DD020,2020,6,22,47,24.64826388888886
02DD020,2020,6,23,47,24.618749999999995
02DD020,2020,6,24,47,24.81354166666668
02DD020,2020,6,25,47,24.68888888888894
02DD020,2020,6,26,47,23.917708333333334
02DD020,2020,6,27,47,24.085069444444432
02DD020,2020,6,28,47,24.285416666666762
02DD020,2020,6,29,47,24.313541666666694
02DD020,2020,6,30,47,24.303819444444525
02DD020,2020,7,1,47,24.312847222222285
02DD020,2020,7,2,47,24.28819444444447
02DD020,2020,7,3,47,24.259722222222244
02DD020,2020,7,4,47,24.133680555555568
02DD020,2020,7,5,47,24.336236933797892
02DD020,2020,7,6,47,24.549652777777723
02DD020,2020,7,7,47,24.25034722222223
02DD020,2020,7,8,47,24.072222222222205
02DD020,2020,7,9,47,23.8892361111111
02DD020,2020,7,10,47,23.754513888888926
02DD020,2020,7,11,47,24.095486111111086
02DD020,2020,7,12,47,24.132638888888934
02DD020,2020,7,13,47,24.023958333333297
02DD020,2020,7,14,47,23.916319444444415
02DD020,2020,7,15,47,23.78194444444446
02DD020,2020,7,16,47,23.888194444444473
02DD020,2020,7,17,47,23.893750000000054
02DD020,2020,7,18,47,23.693402777777745
02DD020,2020,7,19,47,24.496864111498297
02DD020,2020,7,20,47,24.397569444444482
02DD020,2020,7,21,47,24.197222222222134
02DD020,2020,7,22,47,24.306249999999935
02DD020,2020,7,23,47,24.36527777777787
02DD020,2020,7,24,47,24.29270833333339
02DD020,2020,7,25,47,24.232986111111146
02DD020,2020,7,26,47,24.0524305555555
02DD020,2020,7,27,47,24.260069444444465
02DD020,2020,7,28,47,24.095486111111054
02DD020,2020,7,29,47,23.940277777777766
02DD020,2020,7,30,47,23.92152777777775
02DD020,2020,7,31,47,23.79444444444449
02DD020,2020,8,1,47,23.70520833333329
02DD020,2020,8,2,47,23.842708333333334
02DD020,2020,8,3,47,23.92743055555561
02DD020,2020,8,4,47,23.709722222222204
02DD020,2020,8,5,47,23.429861111111116
02DD020,2020,8,6,47,23.1472222222222
02DD020,2020,8,7,47,23.1111111111111
02DD020,2020,8,8,47,23.0232638888889
02DD020,2020,8,9,47,22.96458333333331
02DD020,2020,8,10,47,23.01527777777771
02DD020,2020,8,11,47,23.96597222222222
02DD020,2020,8,12,47,23.55416666666665
02DD020,2020,8,13,47,23.309375000000102
02DD020,2020,8,14,47,23.19652777777775
02DD020,2020,8,15,47,23.075000000000045
02DD020,2020,8,16,47,23.271874999999905
02DD020,2020,8,17,47,23.2274305555556
02DD020,2020,8,18,47,22.977083333333233
02DD020,2020,8,19,47,22.785763888888972
02DD020,2020,8,20,47,22.59444444444445
02DD020,2020,8,21,47,22.518402777777826
02DD020,2020,8,22,47,22.513888888888907
02DD020,2020,8,23,47,22.67847222222227
02DD020,2020,8,24,47,23.04479166666661
02DD020,2020,8,25,47,22.817361111111126
02DD020,2020,8,26,47,22.59965277777782
02DD020,2020,8,27,47,22.88680555555554
02DD020,2020,8,28,47,22.868402777777863
02DD020,2020,8,29,47,23.126388888888844
02DD020,2020,8,30,47,23.145833333333414
02DD020,2020,8,31,47,22.998263888888875
02DD020,2020,9,1,47,22.926041666666638
02DD020,2020,9,2,47,24.056250000000016
02DD020,2020,9,3,47,23.966319444444437
02DD020,2020,9,4,47,23.69548611111113
02DD020,2020,9,5,47,23.46527777777774
02DD020,2020,9,6,47,23.368402777777817
02DD020,2020,9,7,47,24.151736111111163
02DD020,2020,9,8,47,23.961111111111094
02DD020,2020,9,9,47,24.008680555555593
02DD020,2020,9,10,47,24.89999999999996
02DD020,2020,9,11,47,24.79791666666673
02DD020,2020,9,12,47,24.598611111111197
02DD020,2020,9,13,47,24.92743055555554
02DD020,2020,9,14,47,24.92708333333327
02DD020,2020,9,15,47,24.73124999999992
02DD020,2020,9,16,47,24.586805555555554
02DD020,2020,9,17,47,24.49756944444438
02DD020,2020,9,18,47,36.62013888888892
02DD020,2020,9,19,47,75.29027777777773
02DD020,2020,9,20,47,83.50520833333334
02DD020,2020,9,21,47,83.79270833333324
02DD020,2020,9,22,47,82.97430555555549
02DD020,2020,9,23,47,82.259375
02DD020,2020,9,24,47,81.48437500000017
02DD020,2020,9,25,47,80.22951388888904
02DD020,2020,9,26,47,77.38506944444445
02DD020,2020,9,27,47,76.09027777777767
02DD020,2020,9,28,47,76.17291666666671
02DD020,2020,9,29,47,76.62187499999993
02DD020,2020,9,30,47,76.14444444444452
02DD020,2020,10,1,47,75.73541666666671
02DD020,2020,10,2,47,75.32638888888894
02DD020,2020,10,3,47,74.53090277777783
02DD020,2020,10,4,47,73.88263888888885
02DD020,2020,10,5,47,73.0329861111112
02DD020,2020,10,6,47,71.97986111111109
02DD020,2020,10,7,47,71.99618055555563
02DD020,2020,10,8,47,71.37187499999992
02DD020,2020,10,9,47,70.5177083333333
02DD020,2020,10,10,47,69.7739583333333
02DD020,2020,10,11,47,69.19166666666668
02DD020,2020,10,12,47,68.02847222222222
02DD020,2020,10,13,47,67.48298611111119
02DD020,2020,10,14,47,63.256597222222204
02DD020,2020,10,15,47,43.32847222222217
02DD020,2020,10,16,47,36.235069444444406
02DD020,2020,10,17,47,34.389583333333334
02DD020,2020,10,18,47,33.85937499999994
02DD020,2020,10,19,47,34.198958333333415
02DD020,2020,10,20,47,34.011111111111006
02DD020,2020,10,21,47,34.026041666666714
02DD020,2020,10,22,47,33.9986111111111
02DD020,2020,10,23,47,35.43680555555553
02DD020,2020,10,24,47,36.499652777777904
02DD020,2020,10,25,47,36.84756944444444
02DD020,2020,10,26,47,37.144444444444424
02DD020,2020,10,27,47,45.456597222222264
02DD020,2020,10,28,47,73.34409722222229
02DD020,2020,10,29,47,80.13576388888882
02DD020,2020,10,30,47,80.99790940766552
02DD020,2020,10,31,47,80.19333333333334
02DD020,2020,11,1,47,80.22831541218636
02DD020,2020,11,2,47,80.39513888888885
02DD020,2020,11,3,47,80.0920138888889
02DD020,2020,11,4,47,79.6583333333334
02DD020,2020,11,5,47,79.06250000000006
02DD020,2020,11,6,47,78.68472222222213
02DD020,2020,11,7,47,78.22430555555559
02DD020,2020,11,8,47,77.79999999999998
02DD020,2020,11,9,47,77.32291666666654
02DD020,2020,11,10,47,76.59965277777788
02DD020,2020,11,11,47,76.33958333333335
02DD020,2020,11,12,47,75.78749999999997
02DD020,2020,11,13,47,75.23124999999999
02DD020,2020,11,14,47,74.38958333333335
02DD020,2020,11,15,47,74.05451388888886
02DD020,2020,11,16,47,74.28923611111107
02DD020,2020,11,17,47,75.01388888888887
02DD020,2020,11,18,47,74.72222222222223
02DD020,2020,11,19,47,74.24583333333328
02DD020,2020,11,20,47,74.0402777777777
02DD020,2020,11,21,47,73.63194444444444
02DD020,2020,11,22,47,73.18715277777784
02DD020,2020,11,23,47,72.80625
02DD020,2020,11,24,47,72.04930555555555
02DD020,2020,11,25,47,71.47604166666669
02DD020,2020,11,26,47,71.04513888888894
02DD020,2020,11,27,47,70.34513888888887
02DD020,2020,11,28,47,69.61388888888887
02DD020,2020,11,29,47,68.96319444444441
02DD020,2020,11,30,47,68.69791666666666
02DD020,2020,12,1,47,68.89479166666666
02DD020,2020,12,2,47,67.81840277777779
02DD020,2020,12,3,47,66.29652777777783
02DD020,2020,12,4,47,65.70138888888896
02DD020,2020,12,5,47,65.20763888888891
02DD020,2020,12,6,47,64.12638888888883
02DD020,2020,12,7,47,62.96180555555562
02DD020,2020,12,8,47,61.7319444444444
02DD020,2020,12,9,47,60.42604166666664
02DD020,2020,12,10,47,59.156249999999964
02DD020,2020,12,11,47,58.21805555555553
02DD020,2020,12,12,47,58.32430555555556
02DD020,2020,12,13,47,57.8934027777778
02DD020,2020,12,14,47,56.110416666666644
02DD020,2020,12,15,47,54.66493055555557
02DD020,2020,12,16,47,53.44409722222227
02DD020,2020,12,17,47,52.21631944444445
02DD020,2020,12,18,47,50.781250000000014
02DD020,2020,12,19,47,49.57465277777778
02DD020,2020,12,20,47,48.53506944444445
02DD020,2020,12,21,47,47.575347222222234
02DD020,2020,12,22,47,46.42326388888882
02DD020,2020,12,23,47,45.588194444444404
02DD020,2020,12,24,47,45.21249999999997
02DD020,2020,12,25,47,44.770833333333364
02DD020,2020,12,26,47,44.205902777777716
02DD020,2020,12,27,47,43.44131944444437
02DD020,2020,12,28,47,43.28020833333326
02DD020,2020,12,29,47,42.496180555555526
02DD020,2020,12,30,47,41.97847222222218
02DD020,2020,12,31,47,41.0892361111111
02DD020,2021,1,1,47,40.286805555555624
02DD020,2021,1,2,47,39.57395833333336
02DD020,2021,1,3,47,38.78472222222226
02DD020,2021,1,4,47,38.03402777777788
02DD020,2021,1,5,47,37.29652777777781
02DD020,2021,1,6,47,36.49305555555559
02DD020,2021,1,7,47,35.771875000000016
02DD020,2021,1,8,47,35.08124999999992
02DD020,2021,1,9,47,34.36354166666669
02DD020,2021,1,10,47,33.72881944444448
02DD020,2021,1,11,47,33.10555555555551
02DD020,2021,1,12,47,32.48888888888883
02DD020,2021,1,13,47,31.902083333333362
02DD020,2021,1,14,47,31.340972222222256
02DD020,2021,1,15,47,30.921180555555466
02DD020,2021,1,16,47,30.624652777777857
02DD020,2021,1,17,47,30.269097222222303
02DD020,2021,1,18,47,29.821212121212156
02DD020,2021,1,19,47,29.524999999999928
02DD020,2021,1,20,47,29.14782608695657
02DD020,2021,1,21,47,29.010416666666643
02DD020,2021,1,22,47,28.486458333333278
02DD020,2021,1,23,47,28.015942028985435
02DD020,2021,1,24,47,27.663888888888977
02DD020,2021,1,25,47,27.413405797101426
02DD020,2021,1,26,47,26.992708333333265
02DD020,2021,1,27,47,26.533333333333236
02DD020,2021,1,28,47,26.1423611111111
02DD020,2021,1,29,47,25.730208333333415
02DD020,2021,1,30,47,25.384027777777845
02DD020,2021,1,31,47,25.059420289855034
02DD020,2021,2,1,47,24.731159420289885
02DD020,2021,2,2,47,24.319927536231937
02DD020,2021,2,3,47,23.897101449275386
02DD020,2021,2,4,47,23.542708333333294
02DD020,2021,2,5,47,23.545138888888914
02DD020,2021,2,6,47,23.29409722222232
02DD020,2021,2,7,47,22.96874999999995
02DD020,2021,2,8,47,22.57118055555551
02DD020,2021,2,9,47,22.31631944444454
02DD020,2021,2,10,47,22.037499999999977
02DD020,2021,2,11,47,21.841666666666757
02DD020,2021,2,12,47,21.627430555555637
02DD020,2021,2,13,47,21.47391304347824
02DD020,2021,2,14,47,21.41874999999992
02DD020,2021,2,15,47,21.273913043478245
02DD020,2021,2,16,47,21.30069444444451
02DD020,2021,2,17,47,21.167708333333373
02DD020,2021,2,18,47,21.024652777777774
